"SPC","ABBREV","SPC_NMCO","SPC_NMSC","SPC_NMFAM","SPC_LAB","SPECIES_AT_RISK","FLEN_MIN","FLEN_MAX","TLEN_MIN","TLEN_MAX","RWT_MIN","RWT_MAX","K_MIN_ERROR","K_MIN_WARN","K_MAX_ERROR","K_MAX_WARN","FLEN2TLEN_ALPHA","FLEN2TLEN_BETA"
"602",,"Chrosomus Hybrids","Chrosomus Hybrids","LEUCISCIDAE Hybrids","HyCYP",FALSE,31,74,33,79,1,6,0.07,0.25,2.09,1.83,0.96264,1.04838
"603",,"Northern Redbelly Dace x Finescale Dace","Chrosomus eos x Chrosomus neogaeus","LEUCISCIDAE Hybrids","HyCYP",FALSE,31,74,33,79,1,6,0.07,0.25,2.09,1.83,0.96264,1.04838
"604",,"Northern Redbelly Dace x Northern Pearl Dace","Chrosomus eos x Margariscus nachtriebi","LEUCISCIDAE Hybrids","HyCYP",FALSE,10,160,11,173,0.1,21,0.07,0.25,2.09,1.83,0.31726,1.08108
"605",,"Finescale Dace x Northern Pearl Dace","Chrosomus neogaeus x Margariscus nachtriebi","LEUCISCIDAE Hybrids","HyCYP",FALSE,10,160,11,173,0.1,21,0.25,0.42,1.94,1.74,0.48245,1.07988
"610",,"Eastern Shiner Hybrids","Eastern Shiner Hybrids","LEUCISCIDAE Hybrids","HyCYP",FALSE,3,147,5,161,0.1,33,0.05,0.1,2.71,2.33,-0.0012,1.10122
"611",,"Common Shiner x Rosyface Shiner","Luxilus cornutus x Notropis rubellus","LEUCISCIDAE Hybrids","HyCYP",FALSE,12,157,13,172,0.1,45,0.07,0.21,2.19,1.93,0.59391,1.08765
"612",,"Common Shiner x Creek Chub","Luxilus cornutus x Semotilus atromaculatus","LEUCISCIDAE Hybrids","HyCYP",FALSE,12,157,13,172,0.1,45,0.05,0.1,2.71,2.34,0.57234,1.08535
"613",,"Common Shiner x Longnose Dace","Luxilus cornutus x Rhinichthys cataractae","LEUCISCIDAE Hybrids","HyCYP",FALSE,12,157,13,172,0.1,45,0.08,0.28,2.56,2.24,0.49349,1.08562
"614",,"Common Shiner x River Chub","Luxilus cornutus x Nocomis micropogon","LEUCISCIDAE Hybrids","HyCYP",FALSE,12,210,13,222,1,109,0.05,0.1,2.71,2.34,0.57234,1.08535
"615",,"Common Shiner x Brassy Minnow","Luxilus cornutus x Hybognathus hankinsoni","LEUCISCIDAE Hybrids","HyCYP",FALSE,12,157,13,172,0.1,45,0.05,0.29,2.44,2.14,0.60627,1.08753
"616",,"Striped Shiner x Rosyface Shiner","Luxilus chysocephalus x Notropis rubellus","LEUCISCIDAE Hybrids","HyCYP",FALSE,12,157,13,172,0.1,45,0.07,0.21,2.19,1.93,0.59391,1.08765
"617",,"Striped Shiner x Mimic Shiner","Luxilus chysocephalus x Paranotropis volucellus","LEUCISCIDAE Hybrids","HyCYP",FALSE,3,157,5,172,0.1,45,0.05,0.12,2.43,2.11,0.84401,1.08433
"620",,"Fathead Minnow x Bluntnose Minnow","Pimephales promelas x Pimephales notatus","LEUCISCIDAE Hybrids","HyCYP",FALSE,13,97,14,105,0.1,9,0.05,0.29,2.44,2.14,1.4822,1.05606
